year	FSI	SGR	EROI	PRP	ES	ROEnv	RoL	ROEsr	RER	CR	NWCT	ROFA	ROS	ROCE	ROA	ROE	EBIT	WACC	RG	NPG	NAG	FL	DOL	DER
1996	0,25	0,1434	0,43	0,17	2300	0,035	0,0365	0,0225	0,2315	1,48	2,6	0,2506	0,8733	0,2351	0,1373	0,1851	7,923	0,0845	1,169	-0,234	-0,118	1,4299	0,3763	0,3692
1997	0,26	0,14	0,45	0,16	2330	0,05	0,0479	0,0275	0,2973	1,9	2,98	0,1888	0,2654	0,1961	0,1274	0,1719	11,6525	0,0855	1,1659	0,234	0,118	1,4216	0,3716	0,3214
1998	0,21	0,1647	0,44	0,17	2350	0,0562	0,0694	0,035	0,4166	1,34	3,09	0,2271	0,3288	0,255	0,1507	0,2648	16,9833	0,0894	0,7895	0,1442	0,1447	1,4954	0,3924	0,7326
1999	0,19	0,1754	0,4375	0,17	2380	0,0339	0,0656	0,0413	0,5338	1,4	3,98	0,215	0,2397	0,2228	0,1481	0,2338	17,0332	0,0893	0,873	0,0607	0,015	1,4364	0,004	0,5819
2000	0,23	0,1323	0,4375	0,17	2390	0,0525	0,0485	0,047	0,3864	1,43	2,83	0,1387	0,2456	0,1407	0,0962	0,1543	12,371	0,105	1,0248	-0,0953	-0,0227	1,5192	-0,1936	0,6012
2001	0,27	0,1759	0,4343	0,17	2398	0,0625	0,0671	0,0448	0,4652	1,5	2,88	0,1854	0,3207	0,1757	0,1181	0,1933	17,1019	0,117	0,7889	0,1428	0,0393	1,504	0,3749	0,6128
2002	0,27	0,1833	0,4271	0,17	2400	0,0553	0,0805	0,04	0,7069	1,72	3,63	0,3326	0,3459	0,2384	0,1724	0,263	22,3335	0,112	0,9933	0,121	0,1021	1,3451	0,4078	0,4983
2003	0,21	0,14	0,4343	0,18	2450	0,0366	0,0878	0,045	0,7723	1,68	3,21	0,1985	0,2441	0,1587	0,1112	0,1676	20,0532	0,1226	0,9705	-0,0387	0,0559	1,3035	-0,1433	0,5069
2004	0,23	0,17	0,4305	0,18	2500	0,0391	0,0687	0,0453	0,9273	1,57	3,06	0,2003	0,2379	0,1507	0,1057	0,1763	20,3163	0,1274	0,8593	0,0146	0,0466	1,2425	0,0112	0,6949
2005	0,24	0,1434	0,43	0,18	2550	0,035	0,0365	0,0225	0,2315	1,48	2,6	0,32506	0,8733	0,2351	0,1373	0,1851	7,923	0,0845	1,169	-0,234	-0,118	1,4299	0,3763	0,3692
2006	0,28	0,14	0,45	0,19	2600	0,05	0,0479	0,0275	0,2973	1,9	2,98	0,1888	0,2654	0,1961	0,1274	0,1719	11,6525	0,0855	1,1659	0,234	0,118	1,4216	0,3716	0,3214
2007	0,27	0,1647	0,44	0,18	2650	0,0562	0,0694	0,035	0,4166	1,34	3,09	0,2271	0,3288	0,255	0,1507	0,2648	16,9833	0,0894	0,7895	0,1442	0,1447	1,4954	0,3924	0,7326
2008	0,25	0,1754	0,43	0,19	2798,3	0,0339	0,0656	0,0413	0,5338	1,4	3,98	0,215	0,2397	0,2228	0,1481	0,2338	17,0332	0,0893	0,873	0,0607	0,015	1,4364	0,004	0,5819
2009	0,26	0,1323	0,436	0,167	2566	0,0525	0,0485	0,047	0,3864	1,43	2,83	0,1387	0,2456	0,1407	0,0962	0,1543	12,371	0,105	1,0248	-0,0953	-0,0227	1,5192	-0,1936	0,6012
2010	0,27	0,1759	0,4343	0,18	2718,4	0,0625	0,0671	0,0448	0,4652	1,5	2,88	0,1854	0,3207	0,1757	0,1181	0,1933	17,1019	0,117	0,7889	0,1428	0,0393	1,504	0,3749	0,6128
2011	0,29	0,1833	0,4271	0,19	2802,6	0,0553	0,0805	0,04	0,7069	1,72	3,63	0,3326	0,3459	0,2384	0,1724	0,263	22,3335	0,112	0,9933	0,121	0,1021	1,3451	0,4078	0,4983
2012	0,22	0,1361	0,4367	0,18	2177,5	0,0366	0,0878	0,045	0,7723	1,68	3,21	0,1985	0,2441	0,1587	0,1112	0,1676	20,0532	0,1226	0,9705	-0,0387	0,0559	1,3035	-0,1433	0,5069
2013	0,25	0,1683	0,4305	0,18	2317,9	0,0391	0,0687	0,0453	0,9273	1,57	3,06	0,2003	0,2379	0,1507	0,1057	0,1763	20,3163	0,1274	0,8593	0,0146	0,0466	1,2425	0,0112	0,6949
2014	0,29	0,1851	0,335	0,17	2477,3	0,0432	0,0308	0,061	0,9117	1,52	3,64	0,1748	0,0835	0,0831	0,0842	0,1653	7,1334	0,1123	0,9405	-0,1344	-0,1203	1,2994	-0,6911	0,9318
2015	0,26	0,1876	0,275	0,17	2685	0,0386	0,0393	0,0773	0,655	1,41	2,78	0,1881	0,1266	0,1029	0,0889	0,2043	7,7464	0,1108	0,9098	0,14141	-0,186	1,3587	0,0115	1,4431
2016	0,2	0,2593	0,2167	0,18	2762	0,034	0,0405	0,07	0,6475	1,41	3,01	0,1881	0,1264	0,1029	0,0889	0,2043	7,5	0,1074	1,2565	-0,07114	0,1784	2,5	-0,2951	1,2604
2017	0,24	0,2	0,2778	0,1864	2178	0,0386	0,04	0,0633	0,65	1,3996	2,7943	0,2	0,0992	0,1	0,1	0,2	7,5	0,118	1,187	0,2	0,1	1,3	0,2	1,26
2018	0,26	0,2	0,2647	0,1752	2318	0,04	0,04	0,0776	0,65	1,407	3,3172	0,1805	0,1258	0,1	0,1	0,3	7,5	0,128	1,0461	0,1	0,1	1,4	0,1	1,26
2019	0,24	0,2	0,2514	0,1756	2477	0,05	0,04	0,0779	0,65	1,3799	2,5282	0,2185	0,0599	0,1	0,1	0,2	7,5	0,138	1,1371	0,2	0,1	2,4	0,2	1,26
2020	0,21	0,2	0,2421	0,1736	2685	0,05	0,04	0,0836	0,65	1,4538	2,7011	0,1805	0,1701	0,1	0,1	0,2	7,5	0,112	1,0952	0,2	0,1	2,3	0,2	1,26
2021	0,24	0,28	0,2186	0,1646	2762	0,05	0,04	0,0991	0,65	1,3996	2,5354	0,1568	0,2384	0,1	0,1	0,3	7,5	0,122	1,4651	0,1	0,1	2,4	0,1	1,26
2022	0,26	0,26	0,2089	0,1768	2178	0,06	0,04	0,0859	0,65	1,407	3,0026	0,1805	0,0992	0,1	0,1	0,3	7,5	0,127	1,3773	0,2	0,1	2,5	0,2	1,26
2023	0,24	0,26	0,2589	0,1855	2318	0,06	0,04	0,0867	0,65	1,3799	2,2826	1,7005	0,1258	0,1	0,1	0,3	7,5	0,126	1,2087	0,2	0,1	2,3	0,2	1,26
2024	0,21	0,26	0,2644	0,1752	2477	0,07	0,04	0,1009	0,65	1,4538	2,4322	0,1805	0,0599	0,1	0,1	0,3	7,5	0,136	1,3085	0,1	0,1	1,7	0,1	1,26
2025	0,24	0,26	0,2579	0,1768	2685	0,08	0,04	0,1012	0,65	1,3996	2,2765	0,2185	0,1701	0,1	0,1	0,3	7,5	0,146	1,2554	0,2	0,1	1,8	0,2	1,26
2026	0,26	0,26	0,2382	0,1739	2762	0,09	0,04	0,1069	0,65	1,407	2,688	0,1805	0,2384	0,2	0,2	0,3	7,5	0,12	1,6734	0,2	0,1	2,1	0,2	1,26
2027	0,24	0,26	0,2192	0,1638	2178	0,1	0,04	0,1224	0,65	1,3799	2,037	0,1568	0,2	0,2	0,2	0,3	7,5	0,13	1,5677	0,1	0,1	2,2	0,1	1,26
2028	0,21	0,26	0,2097	0,1768	2318	0,1	0,04	0,1093	0,65	1,4538	2,1633	0,1805	0,2	0,2	0,2	0,3	7,5	0,135	1,3713	0,2	0,1	2,3	0,2	1,26
2029	0,24	0,26	0,258	0,1857	2477	0,1	0,04	0,11	0,65	1,3996	2,0177	1,7005	0,2	0,2	0,2	0,3	7,5	0,134	1,4799	0,2	0,1	2,1	0,2	1,26
2030	0,26	0,26	0,2647	0,1754	2685	0,1	0,04	0,1243	0,65	1,407	2,3734	0,1805	0,2	0,2	0,2	0,3	7,5	0,144	1,4156	0,2	0,1	2,2	0,2	1,26
